"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000197879",694.478424991922,3.37854216974574,0.3040931584505,11.1102209170408,1.11882376811652e-28,2.16801720995849e-26,"MYO1C",NA,"GO:0000146"
"ENSG00000169908",996.387803098482,8.48070477722278,0.763633089552268,11.1057324430443,1.17648781064248e-28,2.25324775919677e-26,"TM4SF1",NA,"GO:0003674"
"ENSG00000164171",150.335433442941,7.57394134357613,0.685889272321099,11.0425132003383,2.38273850749644e-28,4.51104436287055e-26,"ITGA2",NA,"GO:0001540"
"ENSG00000213977",992.663732506456,3.40951403141642,0.309089420713,11.0308338070952,2.71337607080199e-28,5.07863832524768e-26,"TAX1BP3",NA,"GO:0001650"
"ENSG00000196935",61.2987917717232,5.76340574081714,0.523986099142348,10.9991577071426,3.8571783363644e-28,7.13838026722e-26,"SRGAP1",NA,"GO:0005096"
"ENSG00000072134",164.7546108907,2.46324642507905,0.224465440053469,10.9738337647537,5.10604742408644e-28,9.34463412468087e-26,"EPN2",NA,"GO:0005515"
"ENSG00000120280",46.2947291088089,-10.0366499347877,0.917942412379157,-10.9338557620127,7.9401302499436e-28,1.43716357523979e-25,"CXorf21",NA,NA
"ENSG00000198363",1790.21911968315,3.93781579949008,0.362319991684005,10.8683370773656,1.63147292465591e-27,2.92086853717472e-25,"ASPH",NA,"GO:0004597"
"ENSG00000146477",17.8703322973258,19.8786795483153,1.83034093179213,10.8606430654707,1.77494851462996e-27,3.14356741768496e-25,"SLC22A3",NA,"GO:0005329"
"ENSG00000089159",842.46685258447,3.12375991826978,0.287732109035689,10.856487059226,1.85758301413369e-27,3.25492019423362e-25,"PXN",NA,"GO:0001725"
"ENSG00000205730",124.176774803926,4.9487382682305,0.456428251205945,10.8423136717661,2.16914701524441e-27,3.76084426190429e-25,"ITPRIPL2",NA,"GO:0016021"
"ENSG00000198561",707.877359487962,3.339699658297,0.309530070393504,10.7895806506013,3.85544748152694e-27,6.61490369460732e-25,"CTNND1",NA,"GO:0005102"
"ENSG00000142583",99.5179291330025,-6.182516913928,0.573126417358977,-10.7873528887704,3.95003445992064e-27,6.70732140096421e-25,"SLC2A5",NA,"GO:0003044"
"ENSG00000073711",72.8637594436375,5.16134838426307,0.481115361568194,10.727881079165,7.53030805279049e-27,1.26562963201543e-24,"PPP2R3A",NA,"GO:0000159"
"ENSG00000100003",93.4437993034754,5.34450893191532,0.498403605215168,10.7232549604211,7.91672671663452e-27,1.317135411613e-24,"SEC14L2",NA,"GO:0005215"
"ENSG00000106299",250.75469792267,2.74445081841344,0.256066614018382,10.717722140132,8.40477374741685e-27,1.38435028393703e-24,"WASL",NA,"GO:0003779"
"ENSG00000168994",270.200020384649,5.38393303358166,0.503135433452746,10.700763006562,1.00943558150005e-26,1.64617955078093e-24,"PXDC1",NA,"GO:0035091"
"ENSG00000107186",99.2656670231287,7.75572955975822,0.72951103972569,10.6314080766681,2.12873896493055e-26,3.43749602856579e-24,"MPDZ",NA,"GO:0005515"
"ENSG00000213999",114.198565870247,-6.31885883757539,0.59593206705357,-10.6033207254936,2.87583725451031e-26,4.59882673971255e-24,"MEF2B",NA,"GO:0000978"
"ENSG00000109654",114.851522311722,5.38447843029925,0.509531818235558,10.5675018469798,4.21574929601388e-26,6.67669294756198e-24,"TRIM2",NA,"GO:0004842"
"ENSG00000106366",7027.34397460639,8.53112155257623,0.807973586490223,10.5586639157782,4.63207744289225e-26,7.26618548208364e-24,"SERPINE1",NA,"GO:0001300"
"ENSG00000106511",26.0548204524851,22.0010315579391,2.08999986661345,10.5268100297005,6.49999844992637e-26,1.01001391008243e-23,"MEOX2",NA,"GO:0000978"
"ENSG00000096996",21.839722795725,-4.81912907735702,0.461131387589563,-10.4506637523585,1.45503303177332e-25,2.23979897816247e-23,"IL12RB1",NA,"GO:0001916"
"ENSG00000146242",111.583164426222,5.54608893186406,0.531027223295246,10.4440764777524,1.55965986317992e-25,2.37862570429968e-23,"TPBG",NA,"GO:0005783"
"ENSG00000139289",381.530530578806,5.16958374805529,0.495738889525789,10.4280375360512,1.84662738622255e-25,2.79044033747446e-23,"PHLDA1",NA,"GO:0000086"
"ENSG00000162630",12.9344685103314,21.7064522118895,2.08395943658779,10.4159667557786,2.09656530058433e-25,3.13932064235677e-23,"B3GALT2","2.4.1.-","GO:0000139"
"ENSG00000020577",108.520463897007,4.69288962869884,0.451199230943125,10.4009255930899,2.45536428439525e-25,3.64345091245714e-23,"SAMD4A",NA,"GO:0000289"
"ENSG00000185567",276.93056245679,9.67367883768506,0.930500926074165,10.396205491701,2.58003587815278e-25,3.79426526330843e-23,"AHNAK2",NA,"GO:0005515"
"ENSG00000167193",411.512783211087,1.73972060157311,0.1673671053806,10.3946387649886,2.62278868521484e-25,3.82300464019236e-23,"CRK",NA,"GO:0000186"
"ENSG00000070778",63.5374241545089,4.16871674925445,0.40287439432947,10.3474353494039,4.29846091933981e-25,6.21052191249526e-23,"PTPN21",NA,"GO:0004725"
"ENSG00000105369",260.202194063683,-8.208867342138,0.794997849881029,-10.3256472245383,5.39536920790581e-25,7.72757619334058e-23,"CD79A",NA,"GO:0002250"
"ENSG00000189233",38.9673979854966,-6.78401523713941,0.658477183545723,-10.3025820888877,6.85949320524535e-25,9.73988901582725e-23,"NUGGC",NA,"GO:0003924"
"ENSG00000173402",584.444438642312,2.80897537709706,0.272722974416075,10.2997387114574,7.0652945109406e-25,9.94636460595749e-23,"DAG1",NA,"GO:0001618"
"ENSG00000143079",140.13195025638,3.43408611713986,0.334554042861908,10.2646678179804,1.01670279036234e-24,1.41916200508967e-22,"CTTNBP2NL",NA,"GO:0005515"
"ENSG00000176165",15.8565415247162,19.762704524486,1.93360446559459,10.2206551940336,1.60254016593148e-24,2.21810412378634e-22,"FOXG1",NA,"GO:0000122"
"ENSG00000242498",72.4443387904697,4.35833260810994,0.426937503249637,10.2083620551872,1.81909624439661e-24,2.49686118678805e-22,"ARPIN",NA,"GO:0005515"
"ENSG00000180801",88.6890814620441,9.22322508134508,0.904415862282729,10.1979912847458,2.02415511678046e-24,2.75536024202404e-22,"ARSJ",NA,"GO:0004065"
"ENSG00000115641",977.850461475096,5.23704637846044,0.514828689337116,10.1724058641789,2.6332287343062e-24,3.55507462973422e-22,"FHL2",NA,"GO:0000122"
"ENSG00000137936",288.99308421993,4.40888857630654,0.433933348794241,10.1602897969409,2.98188802403632e-24,3.99306322308149e-22,"BCAR3",NA,"GO:0002089"
"ENSG00000050165",504.171043909743,8.99569990997427,0.8870588099586,10.1410411677148,3.6320753780535e-24,4.82450915741284e-22,"DKK3",NA,"GO:0005615"
"ENSG00000178562",169.411670397782,-9.54262256083262,0.941187873367598,-10.1389136333523,3.71204629044719e-24,4.89128915599645e-22,"CD28",NA,"GO:0001772"
"ENSG00000134531",1453.20093980262,6.24970904336757,0.616983668479844,10.1294561957627,4.08917231251065e-24,5.34545691740976e-22,"EMP1",NA,"GO:0005515"
"ENSG00000063660",444.197969524505,4.22334228017685,0.417373591526663,10.1188536263849,4.55721817041842e-24,5.91038901456392e-22,"GPC1",NA,"GO:0001523"
"ENSG00000102879",942.288659115197,-5.85715230671546,0.579607094518333,-10.1053840819234,5.22902678843857e-24,6.72869533065404e-22,"CORO1A",NA,"GO:0001772"
"ENSG00000142089",3203.51468278064,5.50471923973215,0.544832395425279,10.1035094204252,5.32999156595318e-24,6.80544892114844e-22,"IFITM3",NA,"GO:0005515"
"ENSG00000091986",730.546054419549,7.03607184357834,0.696696217863077,10.0991962682955,5.56967847881226e-24,7.03301462803288e-22,"CCDC80",NA,"GO:0001968"
"ENSG00000197712",378.619507451681,5.37482337417924,0.53222524996118,10.0987756115879,5.59361857976023e-24,7.03301462803288e-22,"FAM114A1",NA,"GO:0005515"
"ENSG00000110876",206.597080812739,-6.12889291053421,0.606963201716288,-10.0976350678324,5.65904236871984e-24,7.06137021630185e-22,"SELPLG",NA,"GO:0001618"
"ENSG00000154380",596.590591407038,3.14597240941983,0.312577761284413,10.0646072724199,7.92028020511164e-24,9.80864174875142e-22,"ENAH",NA,"GO:0003779"
"ENSG00000196526",181.965667704209,5.2316226378324,0.519921154070212,10.0623384851271,8.10498791901278e-24,9.96248179209399e-22,"AFAP1",NA,"GO:0003779"
"ENSG00000129474",429.737656796397,4.36696106894103,0.435334789440933,10.0312705872857,1.11077897358747e-23,1.35523262770069e-21,"AJUBA",NA,"GO:0000086"
"ENSG00000054793",143.993450366521,5.51519089536657,0.550439215522326,10.019618406245,1.24984563044857e-23,1.51369171905283e-21,"ATP9A",NA,"GO:0000287"
"ENSG00000043462",91.5168242613595,-8.63469747469347,0.863117296237969,-10.0040834685264,1.46239523648383e-23,1.75818335329381e-21,"LCP2",NA,"GO:0005515"
"ENSG00000057019",1008.01458190736,4.82015965899803,0.483503380033516,9.96923673762922,2.07819712181202e-23,2.48043368067869e-21,"DCBLD2",NA,"GO:0005515"
"ENSG00000170485",147.032753579621,6.5931883685831,0.663654149979199,9.93467511472618,2.94133193326316e-23,3.48537253760989e-21,"NPAS2",NA,"GO:0001047"
"ENSG00000064042",218.044247570783,8.60539877735571,0.866388855463748,9.93249015506962,3.00651831630849e-23,3.53716879913694e-21,"LIMCH1",NA,"GO:0003779"
"ENSG00000132031",37.1736008127152,7.96846977490111,0.803687772745708,9.91488242713678,3.58678499077621e-23,4.18992450943794e-21,"MATN3",NA,"GO:0001501"
